Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CARD14	gene	CARD14	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pityriasis rubra pilaris, OMIM:173200;Psoriasis 2, OMIM:602723;Autoinflammatory Disorders				23648549;23067081;22703878;29689250;29980436;29704870;23711932;22521418;30248356		False	3	75;25;0	1.143	False		ENSG00000141527	ENSG00000141527	HGNC:16446													
CARD9	gene	CARD9	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Predisposition to invasive fungal disease due to CARD9 deficiency;212050;CARD9 deficiency;Invasive candidiasis infection, deep dermatophytoses, other invasive fungal infections;Candidiasis, familial, 2;Defects in Intrinsic and Innate Immunity				19864672;23335372;24131138		False	3	100;0;0	1.143	False		ENSG00000187796	ENSG00000187796	HGNC:16391													
CARMIL2	gene	CARMIL2	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	warts, molluscum contagiosum, and T cell dysfunction;Combined immunodeficiency;Recurrent bacterial, fungal and mycobacterial infections, viral warts, molluscum and EBV lymphoproliferative and other malignancy, atopy;Diseases of Immune Dysregulation;EBV+ disseminated smooth muscle tumours				27647349;27896283;28112205		False	3	100;0;0	1.143	False		ENSG00000159753	ENSG00000159753	HGNC:27089													
CASP1	gene	CASP1	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown					19362023;32171193;32303424;22432004;32172672;28424239		False	3	100;0;0	1.143	False		ENSG00000137752	ENSG00000137752	HGNC:1499													
CASP10	gene	CASP10	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Adenopathies, splenomegaly, autoimmunity;Autoimmune lymphoproliferative syndrome, type II, 603909;Autoimmune lymphoproliferative syndrome (ALPS);Diseases of Immune Dysregulation				16446975;9028957;10412980;25663566;16611303;21447005		False	3	100;0;0	1.143	False		ENSG00000003400	ENSG00000003400	HGNC:1500													
CASP3	gene	CASP3	Expert Review Green;Literature	COVID-19 research		Viral research	Unknown	Kawasaki disease				32200494;24903211;21160486;23894522		False	3	0;0;0	1.143	False		ENSG00000164305	ENSG00000164305	HGNC:1504													
CASP8	gene	CASP8	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Caspase-8 deficiency state;Immunodeficiency due to CASP8 deficiency;CEDS;?Autoimmune lymphoproliferative syndrome, type IIB, 607271;Diseases of Immune Dysregulation;Caspase 8 deficiency;Autoimmune lymphoproliferative syndrome (ALPS);Adenopathies, splenomegaly, bacterial and viral infections, hypogammaglobulinemia				24240292;16157684;12353035;20301287		False	3	100;0;0	1.143	False		ENSG00000064012	ENSG00000064012	HGNC:1509													
CCBE1	gene	CCBE1	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features;Combined immunodeficiencies with associated or syndromic features;Hennekam lymphangiectasia-lymphedema syndrome 1, 235510				24913602;19911200;19935664		False	3	100;0;0	1.143	False		ENSG00000183287	ENSG00000183287	HGNC:29426													
CCL2	gene	CCL2	Expert Review Green;Literature	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	{HIV-1, resistance to}, 609423;Susceptibility to Severe Acute Respiratory Syndrome Coronavirus Infection;Susceptibility to SARS-CoV;Susceptibility to viral Japanese encephalitis				25818534;26687605;16916890;24788844;27260136;29057937		False	3	100;0;0	1.143	False		ENSG00000108691	ENSG00000108691	HGNC:10618													
CCL5	gene	CCL5	Expert Review Green;Literature	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Susceptibility to Severe Acute Respiratory Syndrome Coronavirus Infection;Susceptibility to SARS-CoV				17540042;22576913;31874580;30175654;29498364		False	3	100;0;0	1.143	False		ENSG00000161570	ENSG00000271503	HGNC:10632													
CCR2	gene	CCR2	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown							False	3	100;0;0	1.143	False		ENSG00000121807	ENSG00000121807	HGNC:1603													
CD14	gene	CD14	Expert Review Green;Literature	COVID-19 research		Viral research	Unknown	Susceptibility to Severe Acute Respiratory Syndrome Coronavirus Infection;Susceptibility to SARS-CoV				17913858;25572736		False	3	100;0;0	1.143	False		ENSG00000170458	ENSG00000170458	HGNC:1628													
CD19	gene	CD19	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency, common variable, 3;Isolated IgG subclass deficiency;Recurrent infections, may have glomerulonephritis;Immunodeficiency, common variable, 3 613493;Common variable immunodeficiency disorders (CVID);Predominantly Antibody Deficiencies;hypogammaglobulinemia				16672701;21159371;21330302		False	3	100;0;0	1.143	False		ENSG00000177455	ENSG00000177455	HGNC:1633													
CD244	gene	CD244	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown					26919106;21625589;28396665;28386908;30947296;21214542		False	3	100;0;0	1.143	False		ENSG00000122223	ENSG00000122223	HGNC:18171													
CD247	gene	CD247	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	?Immunodeficiency 25;T-B+ severe combined immunodeficiency due to CD3zeta;Immunodeficiency 25, 610163;Nl NK, no g/d T cells;Atypical Severe Combined Immunodeficiency (Atypical SCID);Immunodeficiencies affecting cellular and humoral immunity;T-B+ SCID;Severe combined immunodeficiency (SCID)				26690594;17170122;16672702;25688246;27555457;https://doi.org/10.14785/lpsn-2014-0012		False	3	0;40;60	1.143	False		ENSG00000198821	ENSG00000198821	HGNC:1677													
CD27	gene	CD27	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Lymphoproliferative syndrome 2;Combined immunodeficiency;Diseases of Immune Dysregulation;Features triggered by EBV infection, HLH, aplastic anemia, low iNKT cells, lymphoma;Combined immunodeficiency with EBV-associated lymphoproliferation;CD27 deficiency				22197273;25843314;22801960		False	3	100;0;0	1.143	False		ENSG00000139193	ENSG00000139193	HGNC:11922													
CD3D	gene	CD3D	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	CD3d deficiency;Severe Combined Immune Deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Nl NK, no g/d T cells;Immunodeficiency 19;Immunodeficiencies affecting cellular and humoral immunity;T-B+ SCID;Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive;Severe combined immunodeficiency (SCID)						False	3	100;0;0	1.143	False		ENSG00000167286	ENSG00000167286	HGNC:1673													
CD3E	gene	CD3E	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency due to defect in CD3-epsilon;Severe Combined Immune Deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Nl NK, no g/d T cells;Immunodeficiencies affecting cellular and humoral immunity;T-B+ SCID;Immunodeficiency 18, SCID variant;Severe combined immunodeficiency (SCID);CD3e deficiency						False	3	100;0;0	1.143	False		ENSG00000198851	ENSG00000198851	HGNC:1674													
CD3G	gene	CD3G	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;Immunodeficiency 17, CD3 gamma deficient 615607;CD3z deficiency;Immunodeficiencies affecting cellular and humoral immunity;N/A				1635567;17277165		False	3	100;0;0	1.143	False		ENSG00000160654	ENSG00000160654	HGNC:1675													
CD40	gene	CD40	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency with hyper-IgM, type 3;Hyper-IgM syndrome due to CD40 deficiency;non-X-linked hyper IgM syndrome;Immunodeficiencies affecting cellular and humoral immunity;HIGM3;CD40 deficiency;Neutropenia, opportunistic infections, gastrointestinal and biliary tract and liver disease, Cryptosporidium infections;CSR defects and Hyper IgM (HIGM) syndromes				17502893;20301287;12584544;11675497		False	3	100;0;0	1.143	False		ENSG00000101017	ENSG00000101017	HGNC:11919													
CD40LG	gene	CD40LG	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Hyper-IGM immunodeficiency, X-linked;HIGM;Hyper-IGM syndrome;Hyper-IgM syndrome type 1;Neutropenia, thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections;XHIM;Immunodeficiency, X-linked, with hyper-IgM;Immunodeficiencies affecting cellular and humoral immunity;Hyper-IgM syndrome due to CD40 ligand deficiency;Hyper-IgM syndrome due to CD40L deficiency;IHIS;HIGM1;IMD3;CSR defects and Hyper IgM (HIGM) syndromes;Immunodeficiency 3;CD40 ligand deficiency				7678782;7586644;11875495;20301576;7882172;17146684;8094231;7679206;7679801		False	3	100;0;0	1.143	False		ENSG00000102245	ENSG00000102245	HGNC:11935													
CD46	gene	CD46	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 2, 612922;atypical HUS;Membrane Cofactor Protein (CD46) deficiency;Complement Deficiencies;Atypical hemolytic-uremic syndrome, infections, preeclampsia				16621965;14566051;14615110		False	3	100;0;0	1.143	False		ENSG00000117335	ENSG00000117335	HGNC:6953													
CD55	gene	CD55	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	primary intestinal lymphangiectasia;protein-losing enteropathy;Protein losing enteropathy, thrombosis;Decay-accelerating factor for complement deficiency (DAF CD55);Complement Deficiencies;hypogammaglobulinaemia;angiopathic thrombosis				28657829		False	3	100;0;0	1.143	False		ENSG00000196352	ENSG00000196352	HGNC:2665													
CD59	gene	CD59	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Primary CD59 deficiency;paroxysmal nocturnal haemoglobinuria;CD59 antigen P18-20 deficiency (CD59);Hemolytic anemia, polyneuropathy;Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, 612300;childhood relapsing immune-mediated polyneuropathy;Complement Deficiencies;chronic hemolysis;Membrane Attack Complex Inhibitor (CD59) deficiency				1382994;1699124;23149847;24382084;25716358		False	3	100;0;0	1.143	False		ENSG00000085063	ENSG00000085063	HGNC:1689													
CD70	gene	CD70	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;CD70-deficiency;Diseases of Immune Dysregulation;EBV-related malignancy;EBV susceptibility, Hodgkin lymphoma				28011864;28011863;29434583		False	3	100;0;0	1.143	False		ENSG00000125726	ENSG00000125726	HGNC:11937													
CD79A	gene	CD79A	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia;Agammaglobulinemia 3, 613501;Severe bacterial infections, normal numbers of pro-B cells;Agammaglobulinemia with autosomal recessive inheritance (ARA);Predominantly Antibody Deficiencies;CD79A deficiency;Agammaglobulinemia 3				19302039;11920841;24481606;10525050;29335801;24909997		False	3	83;0;17	1.143	False		ENSG00000105369	ENSG00000105369	HGNC:1698													
CD79B	gene	CD79B	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Agammaglobulinemia 6, 612692;CD79B deficiency, Agammaglobulinemia with autosomal recessive inheritance (ARA);Agammaglobulinemia 6;Predominantly Antibody Deficiencies				17709424;17675462;24722855		False	3	80;0;20	1.143	False		ENSG00000007312	ENSG00000007312	HGNC:1699													
CD81	gene	CD81	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	CD81 deficiency;Isolated IgG subclass deficiency;Recurrent infections, may have glomerulonephritis;Common variable immunodeficiency disorders (CVID);hypogammaglobulinaemia;Predominantly Antibody Deficiencies;Immunodeficiency, common variable 6, 613496				27250108;32086639;14530327;32048120;20237408		False	3	0;100;0	1.143	False		ENSG00000110651	ENSG00000110651	HGNC:1701													
